0.30;0.305;0.035
0.37;0.305;0.035
0.44;0.305;0.035
0.51;0.305;0.035
0.58;0.305;0.035

0.335;0.34;0.035
0.405;0.34;0.035
0.475;0.34;0.035
0.545;0.34;0.035
0.615;0.34;0.035

0.30;0.375;0.035
0.37;0.375;0.035
0.44;0.375;0.035
0.51;0.375;0.035
0.58;0.375;0.035

0.335;0.41;0.035
0.405;0.41;0.035
0.475;0.41;0.035
0.545;0.41;0.035

0.30;0.445;0.035
0.37;0.445;0.035
0.44;0.445;0.035
0.51;0.445;0.035

0.335;0.48;0.035
0.405;0.48;0.035
0.475;0.48;0.035

0.30;0.515;0.035
0.37;0.515;0.035
0.44;0.515;0.035

0.335;0.55;0.035
